Date,Open,High,Low,Close,Adj Close,Volume,Return Series
10/12/2017,10999.84961,11932.4502,9276.860352,11366.16992,11366.16992,25850162,0.033302302
09/12/2017,12104.29981,12157.50977,7967.560059,10999.84961,10999.84961,33976674,-0.091244451
08/12/2017,12410.58984,12793.79981,10183.90039,12104.29981,12104.29981,49907135,-0.024322043
07/12/2017,10424.11035,13154.62988,9967.879883,12406.04004,12406.04004,60026192,0.19012827
06/12/2017,8820.530273,10563.58008,8816.959961,10424.12012,10424.12012,33533017,0.181801977
05/12/2017,8669.049805,8901.139648,8591.959961,8820.530273,8820.530273,16656412,0.017019683
04/12/2017,8405.900391,8684.799805,8225.330078,8672.919922,8672.919922,17622038,0.031765726
03/12/2017,8165.509766,8766.879883,7981.910156,8405.900391,8405.900391,19592022,0.029439757
02/12/2017,8112.870117,8339.419922,7995.810059,8165.509766,8165.509766,13827771,0.006488413
01/12/2017,7417.919922,8146.180176,7080.379883,8112.870117,8112.870117,24762055,0.093685319
30/11/2017,7362.75,7944.810059,6724.680176,7417.919922,7417.919922,25662069,0.008335348
29/11/2017,7454.939941,8531.150391,6677.569824,7356.600098,7356.600098,39034589,-0.013191232
28/11/2017,7340.950195,7559,7263.120117,7454.939941,7454.939941,19528537,0.015527928
27/11/2017,7029.580078,7348.569824,7003.52002,7340.950195,7340.950195,22227305,0.04429427
26/11/2017,6553.069824,7126.72998,6543.759766,7029.580078,7029.580078,16745125,0.070357004
25/11/2017,6228.060059,6600.859863,6174.140137,6567.509766,6567.509766,11307904,0.046409992
24/11/2017,6131.379883,6327.419922,5989.240234,6276.22998,6276.22998,10166725,0.022838671
23/11/2017,6226.790039,6297.060059,6078.169922,6136.089844,6136.089844,10299969,-0.020268136
22/11/2017,6169.680176,6347.959961,6134.390137,6263.029785,6263.029785,10749596,0.015276861
21/11/2017,6269.040039,6372.540039,5950.75,6168.790039,6168.790039,14503827,-0.01590651
20/11/2017,6094.910156,6308.580078,6034.120117,6268.5,6268.5,11836480,0.028481116
19/11/2017,5938.830078,6100.22998,5821.189941,6094.910156,6094.910156,8480718,0.026208723
18/11/2017,5853.649902,5978.850098,5704.629883,5939.25,5939.25,9266101,0.014623372
17/11/2017,5987.649902,6100.180176,5702.439941,5853.649902,5853.649902,13956283,-0.022758095
